CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
16,40,Indaparapeo,16040,17689.7986921539,6730.35,6935.553,8129.869,8539.588,8639.63281403,0.3804650419,0.3920651173,0.4595795092,0.4827408242,0.4883963331
16,88,Tarmbaro,16088,25493.5874533078,5214.546,5182.554,5821.675,5946.435,6170.9222093,0.204543437,0.2032885332,0.2283584062,0.2332521859,0.2420578202
16,91,Tingindn,16091,17218.8177011837,7762.836,6798.088,6045.32,6045.32,6061.59487597,0.4508344379,0.3948057363,0.3510879844,0.3510879844,0.352033164
16,19,Cotija,16019,49915.416494819,31480.964,32157.862,30023.918,29345.716,28977.8300966,0.630686193,0.6442470935,0.6014958926,0.5879088679,0.5805386819
16,25,Chilchota,16025,30189.0087882716,17191.937,16205.486,16462.992,16149.467,16300.0008858,0.5694766967,0.536800864,0.5453306571,0.5349452549,0.5399316354
16,16,Coeneo,16016,39233.722531641,13314.327,12431.832,11238.604,12027.878,12313.7058954,0.3393592588,0.3168659816,0.2864526554,0.30656989,0.3138551506
16,110,Zinapcuaro,16110,59210.0051278213,22804.988,24601.023,25377.91,23314.258,23949.7682537,0.3851542987,0.4154876012,0.428608475,0.3937553788,0.4044885354
16,37,Huaniqueo,16037,20013.0225187108,8601.045,8067.777,8965.994,9201,9154.21564592,0.429772414,0.403126364,0.4480079904,0.4597506444,0.4574129489
16,3,lvaro Obregn,16003,15941.1839031582,4356.132,3447.136,4120.465,1077.498,1053.33282919,0.2732627656,0.2162409029,0.2584792337,0.0675920939,0.0660761983
16,27,Chucndiro,16027,18971.6458769877,8886.744,8799.511,8632.285,8736.738,8933.7851665,0.4684224056,0.4638243333,0.4550098107,0.4605155534,0.4709019568
16,18,Copndaro,16018,17334.0382110773,2393.077,2099.096,2670.502,2890.866,2892.68993566,0.1380565204,0.1210967678,0.154061158,0.1667739487,0.1668791715
16,44,Jimnez,16044,19188.4076413013,3326.596,3270.448,2606.992,2606.992,2552.94974053,0.1733648806,0.1704387389,0.1358628631,0.1358628631,0.1330464616
